Year,County,Value
2020,BARTHOLOMEW,187.5
2020,BOONE,221.9
2020,CLINTON,207.1
2020,DECATUR,209.5
2020,GRANT,187.8
2020,HAMILTON,188.7
2020,HANCOCK,188.5
2020,HENDRICKS,205.2
2020,HOWARD,213.1
2020,JOHNSON,184.2
2020,MADISON,204.7
2020,MARION,191.9
2020,MORGAN,188
2020,RUSH,201.9
2020,SHELBY,191
2020,TIPTON,216.7
2020,BLACKFORD,187.9
2020,DELAWARE,192
2020,FAYETTE,191.5
2020,HENRY,196.6
2020,JAY,179.9
2020,RANDOLPH,183.9
2020,UNION,208.9
2020,WAYNE,186.6
2020,CARROLL,209.6
2020,CASS,200.4
2020,ELKHART,174.8
2020,FULTON,181
2020,KOSCIUSKO,172.9
2020,MARSHALL,175.5
2020,MIAMI,180.8
2020,ST. JOSEPH,167.7
2020,WABASH,174.2
2020,ADAMS,179.9
2020,ALLEN,165.2
2020,DE KALB,136.6
2020,HUNTINGTON,186.1
2020,LAGRANGE,143.5
2020,NOBLE,175.3
2020,STEUBEN,145.6
2020,WELLS,188.5
2020,WHITLEY,159.6
2020,BENTON,204.5
2020,JASPER,172.3
2020,LA PORTE,147.8
2020,LAKE,171.3
2020,NEWTON,192.9
2020,PORTER,182.2
2020,PULASKI,172.7
2020,STARKE,156.8
2020,WHITE,178.5
2020,FLOYD,171.2
2020,HARRISON,182
2020,JACKSON,185.4
2020,LAWRENCE,183.4
2020,MONROE,168.2
2020,ORANGE,205.3
2020,PERRY,179.7
2020,WASHINGTON,172.9
2020,CLARK,173.4
2020,DEARBORN,173.2
2020,FRANKLIN,184.9
2020,JEFFERSON,165
2020,JENNINGS,177.1
2020,OHIO,154.3
2020,RIPLEY,178.4
2020,SWITZERLAND,182.2
2020,DAVIESS,192.4
2020,DUBOIS,183.9
2020,GIBSON,200.3
2020,GREENE,184.3
2020,KNOX,187
2020,MARTIN,190.6
2020,PIKE,181.4
2020,POSEY,199
2020,SPENCER,182.7
2020,SULLIVAN,182.9
2020,VANDERBURGH,204.7
2020,WARRICK,176.9
2020,CLAY,189.1
2020,FOUNTAIN,186.9
2020,MONTGOMERY,205
2020,OWEN,168.5
2020,PARKE,196.7
2020,PUTNAM,193.5
2020,TIPPECANOE,207.1
2020,VERMILLION,188.8
2020,VIGO,176.7
2020,WARREN,206.6
2020,OTHER COUNTIES,160
2019,BOONE,177.4
2019,DECATUR,180
2019,HAMILTON,156.7
2019,HANCOCK,138.2
2019,HENDRICKS,176.1
2019,HOWARD,185.6
2019,JOHNSON,169.2
2019,MADISON,158.9
2019,MARION,144.2
2019,OTHER (COMBINED) COUNTIES,173.4
2019,RUSH,180
2019,SHELBY,163.5
2019,TIPTON,172.4
2019,DELAWARE,157.6
2019,FAYETTE,177.3
2019,JAY,164.9
2019,OTHER (COMBINED) COUNTIES,168.4
2019,RANDOLPH,170.5
2019,UNION,179
2019,WAYNE,167.5
2019,CARROLL,194.6
2019,ELKHART,154.7
2019,FULTON,172.6
2019,KOSCIUSKO,173.7
2019,MARSHALL,157.1
2019,OTHER (COMBINED) COUNTIES,171.6
2019,ST. JOSEPH,147.8
2019,WABASH,184.3
2019,ADAMS,170.1
2019,ALLEN,181.4
2019,DE KALB,168.3
2019,HUNTINGTON,181
2019,LAGRANGE,133.3
2019,NOBLE,179.5
2019,OTHER (COMBINED) COUNTIES,177
2019,WHITLEY,174
2019,BENTON,186
2019,LA PORTE,148.1
2019,NEWTON,182.4
2019,OTHER (COMBINED) COUNTIES,175.4
2019,PORTER,181.2
2019,PULASKI,161
2019,STARKE,146.3
2019,WHITE,177.6
2019,CRAWFORD,126.4
2019,FLOYD,146.4
2019,HARRISON,133.9
2019,LAWRENCE,130.5
2019,MONROE,134
2019,ORANGE,152.6
2019,OTHER (COMBINED) COUNTIES,131.6
2019,WASHINGTON,134.3
2019,CLARK,132.5
2019,DEARBORN,129.4
2019,FRANKLIN,152.4
2019,JEFFERSON,123.6
2019,JENNINGS,135.4
2019,OHIO,136.2
2019,OTHER (COMBINED) COUNTIES,121
2019,SWITZERLAND,123.5
2019,DAVIESS,168.4
2019,DUBOIS,163.6
2019,GIBSON,179
2019,GREENE,133.8
